T2M,PRECTOTCORR,WS2M,PS,RH2M,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
22.6,0.03,1.82,94.58,94.19,38.73,4.69,0.04,0.17,51.48
23.87,0.03,2.28,94.66,87.56,107.38,13.09,0.25,1.23,147.1
25.74,0.03,2.33,94.68,76.88,179.3,22.09,0.59,3.2,247.9
27.06,0.04,2.08,94.64,69.81,244.58,30.41,0.99,5.23,330.15
27.87,0.04,1.91,94.56,65.94,276.88,34.88,1.25,6.27,382.25
28.16,0.03,1.95,94.47,64.0,261.0,30.05,1.07,5.52,353.25
28.01,0.03,2.02,94.4,63.81,245.1,28.76,0.98,5.0,335.27
27.85,0.03,2.02,94.33,64.19,221.52,25.38,0.78,4.15,282.1
27.54,0.02,1.93,94.31,65.5,179.33,19.84,0.5,2.67,205.73
27.01,0.02,1.9,94.31,68.56,103.5,11.35,0.2,0.98,115.08
25.61,0.01,1.72,94.36,77.62,39.3,4.37,0.03,0.15,37.88
21.91,0.03,1.66,94.6,93.31,36.1,4.26,0.03,0.17,45.23
23.61,0.02,1.81,94.66,83.62,99.33,11.57,0.22,1.08,131.08
26.03,0.02,1.72,94.68,71.31,170.27,20.1,0.54,2.9,227.88
27.65,0.02,1.47,94.63,64.62,247.15,29.45,0.96,5.08,309.67
28.6,0.02,1.3,94.55,60.81,293.75,35.07,1.27,6.42,362.45
29.09,0.02,1.17,94.46,58.56,312.85,37.53,1.4,7.27,380.12
29.11,0.02,1.03,94.38,57.81,299.08,35.82,1.28,6.45,359.62
28.77,0.02,0.86,94.31,58.81,243.42,28.89,0.93,5.02,304.6
28.22,0.02,0.74,94.28,61.62,186.8,21.55,0.57,3.08,221.27
27.48,0.01,0.63,94.29,68.38,107.85,12.28,0.23,1.12,124.73
26.33,0.01,0.62,94.35,77.25,38.8,4.51,0.03,0.15,40.98
22.5,0.03,1.78,94.57,93.75,36.02,4.22,0.03,0.17,47.88
24.18,0.02,1.8,94.63,85.12,91.38,10.92,0.21,1.05,136.45
26.46,0.01,1.57,94.63,73.12,171.0,20.57,0.56,3.02,233.9
28.03,0.01,1.36,94.57,65.75,230.1,28.37,0.93,4.95,316.17
29.33,0.02,1.31,94.47,59.94,316.3,38.07,1.39,7.05,369.98
30.21,0.02,1.36,94.37,56.12,322.7,38.51,1.42,7.42,375.17
30.5,0.02,1.42,94.27,54.25,307.08,36.62,1.31,6.65,356.35
30.37,0.02,1.49,94.2,54.06,268.6,31.52,1.02,5.45,303.65
29.81,0.02,1.58,94.17,55.88,201.48,23.03,0.61,3.3,222.92
28.73,0.02,1.7,94.2,61.25,118.42,13.39,0.24,1.2,127.73
26.86,0.03,1.4,94.26,73.75,42.02,4.92,0.03,0.17,42.8
22.38,0.05,1.83,94.54,94.75,40.48,4.9,0.04,0.2,52.58
23.18,0.04,2.03,94.61,90.5,121.85,14.2,0.27,1.3,150.38
24.58,0.04,2.08,94.6,82.31,190.77,23.3,0.62,3.25,252.98
26.19,0.04,1.81,94.55,74.31,269.33,33.61,1.1,5.8,336.15
27.78,0.05,1.38,94.48,67.56,348.95,43.05,1.59,8.08,389.8
28.46,0.05,1.17,94.4,64.19,312.23,37.33,1.35,7.35,372.38
28.74,0.06,1.33,94.32,62.81,294.77,35.24,1.23,6.48,354.5
28.68,0.08,1.55,94.27,62.75,271.33,31.95,1.01,5.38,302.15
28.26,0.06,1.8,94.26,64.88,171.7,19.96,0.52,2.7,221.88
27.48,0.06,1.89,94.27,69.5,113.25,12.84,0.23,1.12,131.67
26.1,0.06,1.37,94.32,79.25,41.67,4.92,0.03,0.17,45.08
22.44,0.05,1.64,94.56,94.62,39.33,4.91,0.04,0.2,56.9
24.01,0.05,1.98,94.63,88.44,136.02,16.16,0.3,1.52,159.3
26.08,0.08,1.94,94.64,77.56,168.7,22.07,0.62,3.4,266.12
27.57,0.11,1.7,94.59,70.38,185.98,25.1,0.87,4.52,350.62
28.63,0.13,1.55,94.5,66.06,254.42,34.04,1.3,6.6,403.3
29.39,0.13,1.42,94.4,63.06,264.5,33.04,1.25,6.52,385.35
29.52,0.13,1.36,94.31,62.0,226.67,29.32,1.07,5.5,364.83
29.3,0.13,1.37,94.23,62.38,261.88,31.74,1.02,5.45,313.02
28.59,0.12,1.52,94.21,65.88,190.08,22.55,0.59,3.15,233.27
27.63,0.11,1.66,94.23,71.94,124.25,14.2,0.26,1.27,137.7
26.19,0.12,1.24,94.28,82.69,41.6,4.98,0.03,0.17,46.92
23.26,0.16,1.45,94.49,96.12,37.5,4.8,0.04,0.2,56.98
23.86,0.15,1.64,94.57,94.44,109.55,13.91,0.27,1.33,159.5
24.76,0.19,1.6,94.58,90.69,188.35,24.06,0.66,3.55,263.85
25.77,0.17,1.48,94.55,83.38,226.62,29.92,1.0,5.2,346.92
26.71,0.15,1.43,94.5,76.5,295.58,38.37,1.4,7.1,399.38
27.12,0.16,1.51,94.44,73.94,306.05,39.4,1.48,7.7,413.02
27.12,0.15,1.53,94.38,74.0,288.38,36.91,1.33,6.67,388.05
26.75,0.16,1.47,94.31,76.0,259.38,32.29,1.05,5.55,331.17
26.26,0.18,1.46,94.28,79.0,190.12,23.37,0.62,3.3,244.75
25.66,0.18,1.36,94.29,83.38,111.25,13.26,0.23,1.17,139.6
24.82,0.19,1.0,94.33,90.25,38.65,4.63,0.03,0.17,47.42
22.42,0.04,1.78,94.49,94.38,31.55,3.81,0.03,0.15,49.3
23.9,0.04,1.9,94.58,86.75,92.85,11.3,0.21,1.05,140.73
26.05,0.03,1.52,94.6,75.19,138.05,17.2,0.46,2.45,238.75
27.94,0.04,1.06,94.54,66.19,214.92,26.59,0.86,4.45,321.12
29.37,0.03,0.72,94.43,59.56,236.3,29.63,1.05,5.33,374.58
30.34,0.02,0.67,94.31,54.94,284.38,35.12,1.29,6.67,393.67
30.9,0.03,0.77,94.2,51.94,293.58,35.99,1.27,6.42,376.12
30.98,0.04,0.94,94.13,50.81,253.2,30.92,0.98,5.2,322.85
30.49,0.06,1.24,94.09,52.19,192.15,23.0,0.6,3.23,240.23
29.39,0.07,1.64,94.11,57.5,108.35,12.99,0.23,1.17,140.2
27.23,0.08,1.55,94.18,72.06,38.95,4.69,0.03,0.15,46.83
22.45,0.01,1.81,94.68,91.5,53.88,6.3,0.05,0.23,55.4
24.28,0.01,2.1,94.72,81.5,152.67,17.41,0.3,1.52,157.73
26.32,0.01,2.03,94.71,71.44,230.7,27.92,0.73,3.73,261.05
27.9,0.01,1.92,94.66,64.75,322.95,40.2,1.27,6.73,345.5
29.1,0.01,1.83,94.58,60.25,361.9,45.88,1.64,8.73,399.5
26.92,0.01,1.66,94.35,70.88,51.6,6.03,0.04,0.2,54.15
22.61,0.02,2.27,94.66,92.06,39.42,4.91,0.04,0.17,54.2
24.2,0.02,2.53,94.72,82.56,108.42,13.29,0.24,1.17,156.55
26.25,0.02,2.41,94.73,71.81,185.02,23.47,0.62,3.25,267.35
27.68,0.02,2.15,94.68,66.19,225.92,29.62,0.95,4.85,351.6
28.81,0.02,1.89,94.61,62.5,265.73,35.15,1.25,6.33,405.92
29.68,0.01,1.74,94.51,59.44,322.77,43.24,1.59,8.33,435.35
30.05,0.02,1.68,94.41,57.5,332.62,44.1,1.55,8.02,413.73
29.96,0.02,1.67,94.34,57.06,281.98,36.68,1.16,5.98,358.2
29.46,0.02,1.7,94.3,58.5,221.35,27.62,0.7,3.62,272.12
28.5,0.02,1.66,94.31,62.5,142.77,16.77,0.28,1.38,164.73
26.97,0.02,1.29,94.37,72.94,53.12,6.14,0.04,0.2,58.55
22.75,0.03,2.12,94.58,91.69,39.65,4.82,0.04,0.17,58.83
24.48,0.04,2.42,94.6,82.38,127.08,15.04,0.27,1.3,161.1
26.34,0.04,2.37,94.63,73.25,169.88,22.13,0.59,3.12,270.95
27.35,0.05,2.22,94.63,68.75,234.88,31.02,1.01,5.12,357.3
28.11,0.05,2.12,94.54,65.81,323.42,42.59,1.52,7.75,413.23
28.43,0.05,1.95,94.44,64.31,308.83,38.41,1.36,7.25,395.9
28.64,0.06,1.82,94.33,63.31,288.8,35.8,1.23,6.35,378.2
28.5,0.06,1.77,94.25,63.62,273.7,33.16,1.02,5.3,324.92
28.08,0.06,1.84,94.21,65.31,202.48,23.88,0.59,3.05,241.62
27.3,0.05,1.83,94.22,69.38,132.17,14.95,0.25,1.23,143.2
26.0,0.06,1.36,94.27,78.69,42.33,4.99,0.03,0.15,49.27
22.72,0.08,0.81,94.4,96.19,36.08,4.8,0.04,0.2,65.52
23.33,0.09,0.9,94.5,93.75,85.83,11.66,0.23,1.15,175.65
24.05,0.1,0.98,94.54,91.25,120.88,16.92,0.48,2.55,284.73
24.71,0.12,1.5,94.52,87.12,99.6,14.42,0.48,2.45,368.88
25.04,0.12,1.82,94.46,84.12,115.3,16.81,0.61,3.1,422.25
25.26,0.14,1.96,94.37,82.44,159.17,23.51,0.91,4.75,454.95
25.27,0.12,2.0,94.27,81.88,220.98,31.38,1.16,5.9,432.48
25.07,0.1,1.9,94.2,82.81,233.2,32.01,1.08,5.52,374.85
24.8,0.09,1.63,94.17,84.38,205.35,27.0,0.73,3.95,286.15
24.32,0.07,1.31,94.21,87.56,125.45,15.98,0.3,1.48,174.9
23.7,0.06,0.85,94.28,92.62,48.8,6.05,0.04,0.23,63.02
22.33,0.03,1.23,94.49,93.06,42.8,5.32,0.04,0.2,62.98
23.94,0.05,1.25,94.53,84.75,117.33,14.84,0.28,1.38,169.4
25.99,0.05,0.77,94.53,74.25,203.98,26.13,0.71,3.77,275.48
27.7,0.06,0.26,94.46,65.69,331.6,41.94,1.36,7.0,361.67
28.93,0.06,0.85,94.36,59.81,377.17,48.18,1.76,8.98,415.15
29.82,0.08,1.23,94.25,55.62,410.2,53.66,2.02,10.73,442.33
30.37,0.08,1.38,94.16,53.06,385.62,50.43,1.83,9.4,424.05
30.39,0.07,1.37,94.08,52.56,321.05,41.75,1.37,7.05,370.62
29.75,0.07,1.22,94.05,54.56,240.4,30.55,0.81,4.35,286.27
28.86,0.07,1.08,94.07,58.81,145.42,17.93,0.33,1.6,178.95
27.31,0.07,0.84,94.13,69.62,53.8,6.59,0.05,0.23,66.3
20.91,0.03,0.93,94.43,93.31,40.3,4.93,0.04,0.2,58.9
22.71,0.03,1.35,94.51,84.56,105.0,13.08,0.25,1.23,163.83
24.83,0.05,1.67,94.57,73.94,183.42,23.3,0.65,3.45,272.0
26.65,0.05,1.67,94.54,65.94,248.23,32.38,1.07,5.35,357.15
28.23,0.05,1.67,94.44,59.69,325.98,41.92,1.52,7.9,409.48
29.28,0.05,1.71,94.33,55.38,336.75,41.48,1.5,8.15,399.9
29.67,0.06,1.72,94.24,53.19,308.08,38.0,1.34,6.9,381.33
29.49,0.06,1.68,94.17,53.12,250.0,30.35,0.96,4.92,322.35
28.88,0.07,1.68,94.16,55.19,191.45,22.73,0.58,3.02,238.8
27.82,0.07,1.74,94.18,60.25,119.5,13.72,0.23,1.17,139.48
26.02,0.06,1.47,94.22,72.81,41.3,4.87,0.03,0.15,47.23
22.43,0.1,1.6,94.5,94.62,29.5,3.77,0.03,0.17,57.77
23.34,0.12,2.07,94.54,91.06,88.1,11.18,0.23,1.1,159.4
24.4,0.12,2.41,94.57,85.0,144.23,18.8,0.53,2.9,265.38
25.71,0.12,2.54,94.53,76.69,190.38,25.04,0.85,4.25,350.85
26.89,0.13,2.45,94.47,69.38,218.67,29.09,1.09,5.62,404.9
27.63,0.12,2.34,94.38,64.19,275.3,36.36,1.41,7.55,428.88
27.83,0.09,2.4,94.29,62.31,279.1,36.45,1.34,6.95,406.98
27.28,0.08,2.35,94.24,64.44,225.48,29.54,0.99,5.08,349.83
26.61,0.09,2.18,94.22,67.81,173.15,22.48,0.62,3.35,262.92
25.77,0.08,1.86,94.22,72.56,82.95,10.8,0.21,1.02,155.7
24.69,0.09,1.26,94.26,81.19,31.92,4.19,0.03,0.17,53.92
21.5,0.02,1.08,94.6,93.94,16.45,2.17,0.02,0.1,56.12
22.45,0.02,1.08,94.67,89.0,71.15,9.17,0.19,0.9,153.75
23.88,0.02,0.83,94.71,80.12,122.0,15.8,0.44,2.33,258.02
25.29,0.01,0.82,94.69,71.25,227.27,28.48,0.95,4.7,343.95
26.03,0.01,1.04,94.63,67.12,207.23,27.69,1.01,5.17,401.9
26.33,0.01,1.16,94.55,65.44,261.8,33.23,1.23,6.58,404.7
