T2M,PRECTOTCORR,WS2M,PS,RH2M,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
26.94,0.11,0.95,94.67,71.75,278.55,39.0,1.41,7.23,426.1
27.13,0.09,0.98,94.59,70.0,252.05,35.44,1.21,6.1,398.45
27.16,0.08,0.97,94.53,69.31,205.27,28.32,0.86,4.52,339.38
26.87,0.08,0.94,94.49,69.88,137.27,18.8,0.45,2.3,253.8
26.23,0.08,0.86,94.48,73.56,70.27,9.36,0.14,0.7,150.17
25.57,0.09,0.75,94.51,78.69,27.73,3.43,0.02,0.08,48.33
21.53,0.03,0.14,94.68,96.0,15.33,1.94,0.01,0.02,17.88
22.91,0.04,0.38,94.74,91.38,63.67,7.81,0.09,0.4,103.23
24.51,0.06,0.72,94.78,84.5,127.1,16.45,0.33,1.62,207.7
26.0,0.06,1.04,94.78,77.94,199.27,26.73,0.73,3.77,300.6
27.15,0.1,1.3,94.76,73.44,304.9,40.45,1.27,6.48,369.15
27.9,0.12,1.43,94.7,71.12,330.65,44.8,1.53,7.9,408.12
28.37,0.17,1.49,94.62,69.56,314.35,41.3,1.42,7.3,399.17
28.66,0.21,1.52,94.54,68.62,291.92,38.22,1.25,6.27,372.35
28.72,0.25,1.48,94.48,68.5,268.2,34.48,0.98,5.2,314.73
28.54,0.29,1.39,94.44,69.5,166.88,21.29,0.48,2.45,231.95
28.17,0.23,1.15,94.44,71.69,106.45,12.73,0.18,0.88,134.6
27.47,0.21,0.83,94.46,75.44,37.9,4.46,0.02,0.1,42.15
21.66,0.59,0.49,94.71,97.12,15.1,1.88,0.01,0.02,15.3
23.01,0.49,0.8,94.81,94.56,44.98,5.8,0.06,0.3,101.45
24.27,0.44,0.77,94.88,90.44,96.52,12.89,0.27,1.33,206.27
25.19,0.51,0.76,94.88,86.19,178.25,23.92,0.66,3.48,299.42
26.17,0.57,0.52,94.82,81.25,219.2,30.62,0.98,4.92,367.6
27.24,0.54,0.34,94.75,76.06,315.42,42.2,1.46,7.4,406.42
27.89,0.52,0.41,94.68,72.88,297.7,39.1,1.34,6.92,396.38
28.17,0.5,0.39,94.61,71.44,309.2,40.34,1.3,6.67,370.25
28.24,0.51,0.38,94.54,71.31,249.83,32.26,0.92,4.75,313.77
27.99,0.44,0.53,94.51,72.31,169.17,21.69,0.49,2.48,231.62
27.65,0.47,0.49,94.51,75.94,85.65,11.01,0.16,0.8,135.08
26.75,0.41,0.59,94.55,79.06,22.77,2.96,0.02,0.08,42.35
21.87,0.51,0.62,94.69,97.62,13.95,1.81,0.01,0.02,16.73
23.1,0.51,1.17,94.75,95.31,63.23,8.0,0.09,0.45,98.02
24.3,0.57,1.54,94.79,92.0,139.3,18.16,0.38,1.9,205.1
25.19,0.52,1.86,94.79,87.75,224.7,29.84,0.84,4.45,298.42
25.69,0.46,1.84,94.75,84.81,286.88,38.61,1.27,6.38,368.92
26.01,0.41,1.72,94.71,82.19,334.98,45.08,1.61,8.15,409.33
26.32,0.35,1.61,94.66,79.5,299.67,40.0,1.43,7.27,402.5
26.51,0.3,1.46,94.6,77.62,279.83,37.26,1.27,6.27,374.65
26.48,0.26,1.24,94.54,77.69,247.75,32.36,0.97,5.2,316.35
26.36,0.25,0.88,94.51,79.25,153.8,20.13,0.48,2.48,233.23
26.1,0.27,0.62,94.53,80.5,68.5,9.03,0.15,0.73,135.45
25.51,0.19,0.5,94.56,82.88,22.35,2.88,0.02,0.08,42.67
20.71,0.05,0.69,94.64,98.38,13.0,1.7,0.01,0.02,16.33
22.4,0.06,0.74,94.7,93.94,75.4,8.98,0.09,0.48,95.88
24.35,0.08,0.24,94.78,85.12,147.88,18.61,0.38,1.85,194.42
26.03,0.11,0.33,94.83,76.12,229.02,29.71,0.8,4.17,288.08
27.31,0.15,0.45,94.81,70.19,303.38,40.01,1.27,6.48,360.1
28.15,0.22,0.45,94.75,67.25,353.85,46.78,1.62,8.33,401.95
28.66,0.25,0.44,94.67,65.81,333.4,43.73,1.53,7.85,400.85
28.92,0.23,0.39,94.58,65.0,316.27,41.39,1.38,6.9,378.02
28.92,0.25,0.36,94.51,64.75,256.17,33.26,0.98,5.2,320.98
28.67,0.19,0.33,94.46,65.19,183.12,23.43,0.55,2.77,239.02
28.19,0.18,0.3,94.45,67.06,115.02,13.87,0.2,1.0,139.58
27.26,0.19,0.37,94.45,73.0,38.55,4.58,0.02,0.1,44.58
21.46,0.17,0.75,94.63,98.44,16.17,2.0,0.01,0.02,16.23
22.91,0.2,1.43,94.7,95.06,69.83,8.57,0.09,0.45,96.73
24.14,0.23,1.68,94.74,91.12,131.0,16.47,0.33,1.62,197.27
25.3,0.27,1.61,94.75,85.94,211.3,27.71,0.76,3.98,289.98
26.45,0.31,1.46,94.71,80.12,274.83,36.41,1.17,5.95,361.05
27.15,0.32,1.3,94.66,76.25,311.67,42.11,1.47,7.45,401.2
27.63,0.36,1.23,94.59,74.06,299.73,40.1,1.42,7.17,403.25
27.94,0.4,1.14,94.53,72.5,291.48,37.98,1.28,6.38,374.75
28.0,0.45,1.04,94.47,71.81,216.48,28.46,0.84,4.42,314.9
27.74,0.46,0.98,94.42,72.56,172.6,21.73,0.51,2.58,230.83
27.25,0.51,0.86,94.42,75.81,97.92,11.97,0.18,0.88,133.33
26.56,0.51,0.69,94.45,80.62,29.52,3.7,0.02,0.1,41.5
22.32,1.4,0.46,94.66,97.12,13.33,1.75,0.01,0.02,15.55
23.26,1.51,0.99,94.71,96.0,66.27,7.91,0.09,0.4,93.12
24.01,1.35,1.3,94.73,94.19,155.45,19.18,0.38,1.85,194.02
25.01,0.95,1.28,94.74,90.88,243.48,30.89,0.81,4.15,286.48
25.64,0.6,1.19,94.73,87.06,303.35,39.81,1.27,6.35,358.52
26.08,0.36,1.17,94.7,83.75,313.92,41.74,1.45,7.33,399.52
26.23,0.22,1.22,94.67,81.75,279.75,35.68,1.22,6.17,375.02
26.19,0.15,1.24,94.61,81.12,284.02,36.34,1.19,5.88,355.6
26.05,0.15,1.26,94.55,81.19,230.8,29.42,0.85,4.48,302.58
25.79,0.14,1.32,94.52,82.25,171.75,21.31,0.48,2.4,223.42
25.36,0.17,1.34,94.51,84.94,107.62,12.7,0.18,0.9,130.8
24.64,0.12,0.99,94.52,90.31,31.17,3.85,0.02,0.1,42.02
21.6,0.03,0.7,94.69,98.81,15.52,1.94,0.01,0.02,15.85
23.08,0.04,1.38,94.76,94.06,58.67,7.51,0.09,0.4,93.85
24.37,0.06,1.34,94.8,88.62,117.62,15.19,0.31,1.55,193.83
25.71,0.06,1.12,94.81,81.62,183.5,24.27,0.67,3.55,288.62
26.76,0.07,0.95,94.78,76.5,257.88,34.82,1.12,5.65,357.52
27.52,0.07,0.92,94.73,73.25,314.92,41.81,1.46,7.45,397.5
28.02,0.08,0.93,94.66,71.0,321.38,42.46,1.47,7.7,396.65
28.32,0.09,0.9,94.59,69.56,281.88,37.37,1.22,6.35,369.52
28.37,0.1,0.82,94.55,68.88,234.83,30.52,0.88,4.6,313.1
28.21,0.13,0.69,94.51,69.12,177.6,22.08,0.51,2.55,231.05
27.8,0.12,0.49,94.51,70.94,125.7,14.53,0.2,1.02,133.3
27.19,0.11,0.31,94.54,75.25,35.9,4.37,0.02,0.1,42.55
21.99,0.11,0.67,94.74,98.31,11.17,1.41,0.01,0.02,15.65
23.21,0.08,1.31,94.8,95.31,42.33,5.52,0.06,0.3,93.0
24.06,0.06,1.54,94.82,92.81,148.23,18.06,0.34,1.7,190.33
25.05,0.06,1.6,94.82,88.31,208.3,26.84,0.7,3.62,278.85
26.07,0.05,1.41,94.8,82.94,179.7,24.91,0.8,4.02,349.08
26.94,0.05,1.09,94.75,77.62,231.58,31.41,1.1,5.52,391.67
27.51,0.07,0.99,94.68,73.5,289.6,38.44,1.34,6.88,396.88
27.78,0.08,1.06,94.6,71.5,311.4,40.43,1.3,6.67,368.08
27.82,0.08,1.09,94.54,70.75,271.9,34.56,0.99,5.27,310.73
27.44,0.09,1.09,94.51,71.38,187.25,22.81,0.51,2.55,225.65
26.87,0.08,1.11,94.5,74.69,120.23,13.78,0.2,0.95,128.95
25.95,0.08,0.92,94.52,81.56,33.42,4.07,0.02,0.1,40.15
23.15,0.04,0.81,94.69,93.25,36.83,4.88,0.05,0.25,88.9
24.61,0.06,0.44,94.72,86.5,86.92,11.55,0.23,1.15,186.73
26.21,0.05,0.44,94.74,79.56,136.62,18.72,0.52,2.67,280.12
27.31,0.05,0.38,94.75,74.94,225.6,30.45,0.96,4.8,349.2
28.16,0.05,0.33,94.73,72.0,245.92,33.52,1.14,5.75,386.4
28.64,0.04,0.37,94.67,69.75,266.0,35.91,1.25,6.38,398.67
28.99,0.05,0.44,94.61,68.25,297.02,39.17,1.27,6.5,372.92
29.1,0.07,0.44,94.54,67.38,256.08,32.85,0.93,4.83,315.17
28.79,0.09,0.46,94.51,68.0,199.38,24.6,0.54,2.7,233.17
28.42,0.09,0.51,94.51,71.0,120.25,14.02,0.2,0.95,136.55
27.71,0.08,0.56,94.53,73.19,38.48,4.55,0.02,0.1,44.2
22.22,0.1,0.44,94.61,97.81,9.45,1.24,0.01,0.02,15.12
23.19,0.11,1.04,94.66,94.62,52.02,6.67,0.07,0.35,90.27
24.15,0.13,0.91,94.74,91.0,98.7,13.12,0.27,1.33,187.83
25.37,0.14,0.76,94.8,85.5,151.75,20.34,0.55,2.9,280.48
26.26,0.16,0.67,94.78,80.06,202.77,27.33,0.88,4.38,351.58
26.9,0.19,0.57,94.72,76.25,293.92,39.06,1.36,6.8,391.58
27.46,0.21,0.56,94.64,73.81,284.67,37.84,1.33,6.75,396.4
27.69,0.24,0.55,94.55,72.75,293.38,38.41,1.28,6.38,369.67
27.49,0.23,0.64,94.49,73.94,257.58,33.74,0.97,5.12,314.77
27.05,0.24,0.76,94.46,76.94,185.1,23.05,0.52,2.62,231.33
26.47,0.22,0.68,94.45,81.56,110.62,13.19,0.2,0.95,135.67
25.89,0.19,0.61,94.46,84.94,33.17,4.09,0.02,0.1,43.73
22.26,0.1,0.69,94.65,98.0,14.77,1.85,0.01,0.02,15.5
23.26,0.1,1.14,94.73,94.75,44.83,6.08,0.07,0.35,95.3
24.05,0.12,1.09,94.78,91.62,92.77,12.48,0.26,1.3,194.58
24.86,0.14,1.08,94.79,87.94,131.98,18.45,0.52,2.75,287.67
25.55,0.15,0.95,94.77,84.44,185.73,25.88,0.87,4.33,357.2
26.05,0.15,0.98,94.7,82.25,245.25,33.92,1.2,6.02,398.27
26.41,0.15,1.06,94.62,80.69,254.73,32.48,1.15,5.8,376.35
26.65,0.15,1.15,94.54,79.75,229.23,29.5,0.98,4.85,350.1
26.76,0.14,1.21,94.49,79.25,229.15,28.3,0.82,4.3,292.33
26.74,0.12,1.31,94.45,79.62,175.58,21.06,0.48,2.4,213.77
26.23,0.12,1.29,94.45,82.69,97.65,11.54,0.17,0.85,123.92
25.4,0.11,0.96,94.48,88.56,31.9,3.91,0.02,0.1,40.27
22.13,0.11,1.2,94.63,98.0,10.3,1.38,0.01,0.02,14.6
23.09,0.15,1.96,94.66,95.62,37.85,5.08,0.05,0.27,89.77
24.13,0.18,2.35,94.7,92.88,93.15,12.17,0.25,1.23,187.35
25.11,0.22,2.59,94.77,88.88,139.95,19.05,0.53,2.83,279.67
25.77,0.25,2.59,94.78,85.38,204.65,27.62,0.9,4.48,348.95
26.32,0.28,2.55,94.72,82.75,231.73,31.59,1.1,5.5,387.65
26.54,0.29,2.45,94.64,82.06,244.95,32.91,1.16,5.85,394.08
26.64,0.3,2.46,94.55,81.62,231.75,31.09,1.05,5.17,367.4
26.33,0.32,2.41,94.48,83.06,171.75,23.27,0.7,3.7,310.02
25.82,0.34,2.23,94.47,86.12,68.52,9.52,0.23,1.17,227.35
25.15,0.29,1.88,94.51,90.38,26.65,3.79,0.06,0.3,131.67
24.44,0.23,1.4,94.55,94.5,15.12,2.08,0.01,0.05,42.55
20.9,0.23,1.56,94.82,96.25,37.08,4.99,0.05,0.25,91.45
21.26,0.15,1.67,94.88,94.94,84.55,11.6,0.23,1.15,191.8
21.84,0.1,1.97,94.91,92.5,148.33,20.2,0.55,2.88,282.4
22.65,0.09,2.15,94.9,89.31,197.42,27.09,0.86,4.33,351.48
23.38,0.1,2.09,94.89,86.0,256.0,34.42,1.17,5.88,390.75
23.83,0.13,2.07,94.86,83.5,252.23,34.23,1.2,5.98,397.08
23.83,0.16,2.11,94.82,82.88,229.88,31.31,1.03,5.12,368.85
23.53,0.2,2.11,94.77,84.25,198.05,26.07,0.76,3.98,309.5
23.06,0.26,1.99,94.74,86.69,152.3,19.43,0.45,2.25,227.88
22.58,0.3,1.68,94.74,89.56,92.25,11.55,0.17,0.85,133.38
22.08,0.31,1.24,94.77,93.25,25.45,3.22,0.02,0.08,42.95
20.19,0.05,0.86,94.9,98.19,10.17,1.34,0.01,0.02,13.55
21.51,0.06,1.63,94.96,95.75,40.15,5.18,0.05,0.27,85.2
22.85,0.09,2.29,94.99,91.94,81.88,11.15,0.23,1.12,184.73
24.15,0.14,2.59,94.99,85.94,123.3,16.97,0.47,2.45,276.8
25.4,0.16,2.67,94.96,79.62,209.12,27.81,0.88,4.42,345.8
26.14,0.17,2.65,94.89,76.19,236.15,31.8,1.09,5.45,387.38
26.75,0.16,2.6,94.82,73.75,249.58,33.55,1.17,5.88,396.05
26.73,0.17,2.48,94.75,73.94,263.62,34.7,1.15,5.67,370.65
26.17,0.16,2.4,94.71,76.94,212.35,27.86,0.82,4.35,313.12
25.45,0.18,2.32,94.69,81.0,136.95,17.95,0.42,2.17,230.0
24.59,0.18,1.99,94.69,86.31,77.0,9.98,0.16,0.77,131.62
23.76,0.14,1.47,94.7,91.38,22.48,2.87,0.02,0.08,41.62
21.17,0.03,1.27,94.98,93.38,43.73,5.43,0.06,0.3,82.33
21.84,0.03,1.55,95.04,90.25,93.5,12.02,0.25,1.25,179.6
22.61,0.02,1.77,95.07,87.19,154.67,20.27,0.56,3.0,270.98
23.4,0.03,2.02,95.06,83.94,164.73,22.34,0.73,3.7,341.17
24.12,0.05,2.27,95.01,80.81,187.9,25.52,0.91,4.55,381.88
24.73,0.06,2.45,94.93,78.44,205.98,27.77,1.0,5.02,388.45
25.19,0.06,2.58,94.85,76.94,183.52,24.54,0.84,4.15,359.98
25.49,0.08,2.61,94.79,76.06,159.45,20.75,0.63,3.35,300.25
25.38,0.1,2.47,94.75,76.56,125.6,15.73,0.38,1.98,216.1
24.96,0.1,2.27,94.75,78.12,93.35,10.99,0.16,0.83,120.5
24.06,0.09,1.64,94.77,83.62,31.38,3.78,0.02,0.1,37.52
21.42,0.27,1.73,95.02,95.75,39.42,4.94,0.05,0.27,76.62
22.55,0.37,2.31,95.06,92.62,95.58,11.99,0.24,1.23,173.38
23.48,0.47,2.53,95.09,88.69,151.5,19.6,0.55,2.88,265.2
24.12,0.51,2.49,95.08,85.19,190.75,25.41,0.82,4.12,335.95
24.54,0.46,2.47,95.03,82.56,218.12,28.97,1.02,5.12,377.67
24.73,0.36,2.43,94.96,81.44,243.17,32.12,1.15,5.8,386.25
24.76,0.28,2.46,94.88,81.56,180.3,24.51,0.84,4.12,359.42
24.76,0.23,2.5,94.81,81.62,161.9,21.45,0.65,3.42,295.77
24.59,0.21,2.38,94.76,82.19,135.7,17.23,0.41,2.12,212.88
24.08,0.2,2.08,94.77,84.38,82.6,10.13,0.16,0.77,117.35
23.29,0.17,1.49,94.8,89.56,28.12,3.53,0.02,0.1,38.58
20.47,0.09,0.7,94.96,97.62,9.88,1.3,0.01,0.02,14.1
21.05,0.09,1.19,95.02,95.62,43.62,5.77,0.06,0.3,87.02
21.48,0.09,1.54,95.07,93.88,91.92,12.38,0.25,1.25,183.83
22.01,0.1,1.95,95.08,90.69,152.65,20.82,0.57,3.0,275.15
22.63,0.22,2.16,95.07,87.0,217.65,29.27,0.95,4.75,345.73
23.14,0.31,2.23,95.03,84.44,242.25,33.32,1.16,5.8,386.73
23.54,0.33,2.27,94.98,81.88,225.73,31.12,1.1,5.52,395.0
23.47,0.37,2.19,94.91,81.56,211.35,28.95,0.98,4.83,369.3
23.27,0.3,2.09,94.86,82.38,222.2,29.31,0.88,4.65,312.25
22.98,0.34,1.98,94.84,83.5,170.7,21.85,0.52,2.65,229.75
22.56,0.33,1.75,94.84,85.44,96.0,12.16,0.19,0.92,132.75
21.98,0.26,1.28,94.87,89.44,29.88,3.84,0.02,0.1,43.48
19.47,0.04,0.78,94.87,97.88,11.17,1.38,0.01,0.02,13.58
20.62,0.03,1.31,94.93,93.44,70.62,8.6,0.09,0.42,86.6
21.87,0.04,1.47,94.98,88.25,156.23,18.9,0.35,1.73,183.9
23.27,0.06,1.62,95.02,81.88,230.98,29.07,0.74,3.77,275.42
24.45,0.09,1.61,94.99,77.12,305.58,39.41,1.2,6.15,345.25
25.15,0.11,1.46,94.94,74.25,336.4,44.06,1.47,7.6,386.05
25.8,0.13,1.34,94.85,71.81,342.55,45.97,1.59,8.17,408.4
26.11,0.13,1.28,94.77,70.06,313.92,41.85,1.39,6.9,384.5
26.24,0.13,1.23,94.68,69.44,270.4,35.37,1.04,5.5,328.67
25.91,0.17,1.13,94.62,70.88,185.0,24.05,0.56,2.85,245.77
25.48,0.18,1.03,94.6,73.62,127.38,15.25,0.22,1.1,146.5
24.71,0.13,0.72,94.63,79.94,46.83,5.39,0.02,0.12,49.65
20.22,0.34,0.73,94.81,98.44,14.73,1.82,0.01,0.02,14.92
21.4,0.34,1.18,94.86,95.38,73.6,8.55,0.09,0.4,96.27
22.57,0.39,1.27,94.89,92.5,129.62,16.41,0.31,1.55,198.9
23.66,0.42,1.42,94.89,88.62,199.65,26.6,0.7,3.62,292.9
24.74,0.39,1.39,94.86,83.88,276.8,36.98,1.16,5.9,361.85
25.77,0.34,1.35,94.79,79.38,283.6,39.09,1.34,6.75,402.23
26.57,0.31,1.37,94.72,75.81,278.5,37.75,1.33,6.7,405.2
27.03,0.32,1.47,94.63,73.38,264.17,35.62,1.19,5.95,381.5
27.06,0.37,1.57,94.57,72.12,251.8,33.09,0.96,4.98,325.42
26.79,0.36,1.61,94.53,72.56,176.55,22.56,0.52,2.58,243.52
26.13,0.39,1.6,94.53,76.06,98.27,12.27,0.18,0.9,144.02
25.05,0.37,1.27,94.58,83.62,32.3,4.05,0.02,0.1,48.45
21.48,0.18,1.86,94.79,95.75,50.33,6.41,0.06,0.3,91.77
22.4,0.23,2.41,94.83,93.0,100.73,13.65,0.27,1.3,192.6
23.55,0.31,2.67,94.84,88.31,176.8,23.84,0.62,3.25,284.88
24.78,0.39,2.49,94.81,82.62,229.12,31.01,0.97,4.85,354.8
25.66,0.4,2.26,94.77,78.31,235.6,32.45,1.09,5.42,395.4
26.18,0.36,2.25,94.7,75.38,259.77,35.21,1.2,6.0,399.33
26.36,0.36,2.36,94.64,74.0,240.02,32.73,1.06,5.27,377.38
26.35,0.37,2.52,94.57,74.0,212.12,28.42,0.81,4.25,322.92
25.78,0.42,2.54,94.55,76.75,139.95,18.82,0.44,2.2,241.5
24.96,0.45,2.4,94.56,81.44,68.15,9.02,0.14,0.67,142.9
23.81,0.52,1.93,94.6,88.38,8.15,1.15,0.01,0.02,47.85
20.38,0.32,1.15,94.79,97.94,10.83,1.37,0.01,0.02,13.15
21.18,0.23,1.64,94.86,96.12,58.35,7.07,0.07,0.33,85.05
22.15,0.21,2.11,94.91,93.0,125.67,15.68,0.29,1.45,181.17
23.26,0.18,2.19,94.94,88.06,190.8,24.87,0.65,3.35,271.4
24.49,0.15,2.09,94.91,81.69,251.75,32.91,1.02,5.1,341.45
25.43,0.13,2.07,94.85,77.06,280.65,37.44,1.25,6.3,380.95
25.86,0.13,2.05,94.79,74.44,302.3,40.39,1.38,6.98,397.45
25.92,0.11,2.04,94.74,73.56,278.8,36.97,1.21,6.02,373.98
25.69,0.13,2.04,94.68,73.88,236.45,31.37,0.91,4.75,318.9
24.98,0.21,1.86,94.65,77.12,166.27,21.68,0.5,2.52,237.92
24.12,0.2,1.49,94.65,83.06,104.23,13.13,0.2,0.95,141.0
23.19,0.12,1.07,94.69,89.75,39.1,4.79,0.02,0.1,48.1
20.05,0.15,0.59,94.81,98.44,13.23,1.64,0.01,0.02,13.58
21.3,0.19,1.0,94.86,95.69,57.55,6.91,0.07,0.35,88.15
22.48,0.18,1.24,94.92,91.5,117.9,15.12,0.3,1.5,185.23
23.86,0.16,1.19,94.95,85.5,202.88,26.14,0.7,3.7,276.0
25.05,0.16,1.0,94.93,79.12,265.02,34.72,1.1,5.6,343.1
25.8,0.15,0.9,94.89,74.94,310.38,40.48,1.38,7.12,381.12
26.2,0.17,0.92,94.83,72.69,335.1,42.77,1.47,7.75,381.52
26.41,0.17,1.07,94.77,71.56,303.9,38.8,1.28,6.5,355.95
26.39,0.18,1.17,94.71,71.06,275.52,33.95,0.97,5.02,300.02
26.29,0.27,1.25,94.66,71.69,204.27,24.24,0.55,2.73,216.88
25.9,0.26,1.2,94.66,73.94,121.35,13.87,0.2,1.0,123.83
25.13,0.17,0.88,94.68,80.12,39.02,4.67,0.02,0.12,40.27
20.56,0.1,0.6,94.83,98.25,12.92,1.6,0.01,0.02,13.27
21.8,0.1,1.11,94.88,94.94,68.95,8.36,0.09,0.4,89.33
22.89,0.14,1.31,94.91,91.38,144.62,18.12,0.34,1.7,190.25
24.11,0.17,1.25,94.93,86.31,233.08,29.73,0.77,3.98,283.95
25.2,0.21,1.01,94.91,81.0,283.12,37.65,1.18,6.0,354.85
26.05,0.28,0.98,94.86,76.88,338.38,45.07,1.53,7.9,396.83
26.53,0.31,1.09,94.78,74.31,329.23,43.77,1.51,7.83,399.45
26.8,0.29,1.17,94.72,72.62,305.1,40.64,1.34,6.88,377.1
26.58,0.25,1.13,94.65,72.38,267.58,34.62,1.01,5.23,323.5
26.15,0.22,0.94,94.62,75.06,212.67,26.49,0.6,3.02,244.45
25.74,0.15,0.6,94.62,78.38,132.58,15.62,0.23,1.12,148.8
25.01,0.12,0.38,94.65,81.62,46.0,5.32,0.03,0.12,52.48
22.02,1.54,1.43,94.89,95.31,35.8,5.01,0.05,0.27,98.35
23.18,1.11,1.67,94.91,92.12,71.75,10.31,0.21,1.05,201.95
24.51,0.83,1.59,94.89,86.31,141.4,20.11,0.56,2.95,294.75
25.67,0.61,1.44,94.84,79.88,166.38,23.95,0.79,3.95,365.0
26.51,0.45,1.41,94.78,75.19,186.4,27.03,0.96,4.77,405.88
27.08,0.3,1.41,94.69,72.44,205.48,29.52,1.05,5.33,414.58
27.43,0.23,1.38,94.6,70.69,212.4,30.07,1.04,5.15,390.08
27.51,0.18,1.32,94.53,69.88,250.55,33.96,1.02,5.42,335.65
27.22,0.24,1.22,94.5,70.94,215.55,27.5,0.65,3.25,253.3
26.52,0.24,1.02,94.5,75.31,116.77,14.37,0.22,1.08,151.98
25.54,0.25,0.84,94.51,81.88,38.15,4.69,0.02,0.12,52.08
21.01,0.41,0.36,94.73,98.25,12.58,1.59,0.01,0.02,12.95
21.65,0.48,0.33,94.74,96.31,53.55,6.73,0.07,0.33,85.73
22.6,0.61,0.35,94.74,93.19,109.4,13.94,0.27,1.33,178.5
23.49,0.64,0.95,94.73,89.0,133.7,18.27,0.49,2.52,269.88
24.03,0.67,1.27,94.73,88.06,246.9,32.73,1.02,5.15,338.52
24.51,0.82,1.6,94.7,86.56,295.45,38.86,1.3,6.62,377.9
24.68,0.85,1.98,94.64,86.06,336.5,44.62,1.53,7.92,397.27
24.4,0.87,2.37,94.58,87.5,309.58,41.02,1.35,6.9,376.65
24.24,1.01,2.76,94.53,88.44,269.35,34.78,1.01,5.2,322.12
24.12,0.94,2.94,94.5,88.31,191.5,24.05,0.55,2.75,240.15
23.78,0.88,2.67,94.5,89.19,107.4,12.95,0.2,0.95,141.65
23.12,0.96,1.97,94.51,92.38,34.45,4.38,0.02,0.12,48.25
20.35,0.15,1.18,94.63,98.06,12.38,1.55,0.01,0.02,13.52
21.52,0.1,1.97,94.66,96.19,72.45,8.37,0.08,0.4,92.3
22.69,0.1,2.44,94.72,92.44,132.73,16.48,0.31,1.52,194.45
24.03,0.16,2.37,94.77,86.25,185.58,24.53,0.65,3.33,286.85
25.33,0.24,2.32,94.78,80.12,200.2,27.63,0.9,4.52,356.25
26.16,0.27,2.32,94.73,76.25,264.0,36.71,1.27,6.4,398.5
26.67,0.28,2.32,94.65,74.31,267.45,36.45,1.28,6.5,402.12
26.9,0.29,2.42,94.57,74.19,235.8,32.45,1.09,5.45,377.23
26.9,0.28,2.48,94.5,74.62,264.38,34.22,0.99,5.17,321.67
26.33,0.27,2.41,94.46,77.38,195.27,24.28,0.55,2.77,240.1
25.39,0.25,2.09,94.49,83.12,118.3,13.85,0.2,1.0,142.33
24.25,0.25,1.66,94.54,89.75,38.3,4.53,0.02,0.12,48.7
20.8,0.13,1.21,94.78,97.5,10.15,1.3,0.01,0.02,12.92
21.36,0.14,1.66,94.83,96.19,45.0,5.69,0.05,0.27,87.12
21.87,0.14,1.89,94.87,94.44,94.75,12.56,0.25,1.23,183.73
22.37,0.12,2.27,94.89,91.12,149.95,20.22,0.55,2.88,275.73
23.09,0.09,2.28,94.87,86.5,202.35,27.41,0.88,4.4,344.77
23.98,0.09,2.22,94.83,80.88,197.38,27.1,0.95,4.73,384.98
24.69,0.11,2.18,94.76,77.25,203.3,27.27,0.96,4.8,382.77
25.05,0.14,2.13,94.7,75.69,217.45,28.99,0.96,4.75,358.95
24.93,0.16,2.06,94.65,75.94,191.1,24.67,0.73,3.8,304.23
24.53,0.2,1.94,94.63,78.12,158.95,19.94,0.47,2.35,222.65
23.85,0.23,1.63,94.63,83.0,90.48,11.15,0.17,0.85,130.62
23.01,0.23,1.31,94.65,88.94,24.75,3.12,0.02,0.08,44.45
21.37,0.03,1.51,94.88,94.81,45.33,5.76,0.05,0.27,88.23
22.44,0.03,1.77,94.92,90.0,111.85,14.68,0.29,1.42,188.23
23.58,0.02,1.84,94.94,84.0,175.67,23.4,0.63,3.3,281.95
24.56,0.02,1.82,94.93,78.25,245.75,32.77,1.05,5.33,354.33
25.17,0.03,1.8,94.88,74.56,276.48,37.51,1.32,6.6,396.73
25.55,0.05,1.72,94.83,72.88,198.95,24.91,0.87,4.35,355.75
25.58,0.08,1.64,94.77,72.56,205.55,25.55,0.84,4.17,332.5
25.52,0.13,1.62,94.71,72.94,176.7,21.77,0.63,3.3,274.67
25.37,0.14,1.57,94.67,74.12,115.8,14.16,0.34,1.7,199.62
24.94,0.13,1.46,94.66,76.69,83.48,9.77,0.15,0.73,111.77
24.11,0.1,1.04,94.69,83.25,30.0,3.56,0.02,0.1,37.23
21.44,0.01,1.49,94.94,92.94,32.23,3.99,0.04,0.17,63.88
22.15,0.01,1.73,95.01,87.81,83.77,10.36,0.2,0.98,150.0
22.9,0.01,1.8,95.04,83.56,130.23,16.26,0.43,2.23,239.67
23.65,0.01,1.79,95.02,80.06,231.42,28.05,0.86,4.33,309.77
24.47,0.01,1.81,94.95,76.88,237.62,29.3,0.98,4.9,351.25
25.18,0.02,1.84,94.86,74.56,202.98,25.7,0.88,4.38,361.95
25.52,0.04,1.83,94.76,73.25,158.95,20.62,0.68,3.38,340.0
25.45,0.07,1.79,94.68,73.25,136.0,17.57,0.52,2.7,287.2
24.92,0.11,1.67,94.65,75.75,118.85,14.89,0.35,1.8,208.85
24.18,0.13,1.38,94.66,81.19,79.92,9.69,0.15,0.73,118.4
23.35,0.12,0.94,94.7,87.44,25.58,3.11,0.02,0.08,39.3
21.31,0.07,1.54,94.89,93.94,31.67,3.92,0.04,0.17,71.5
